Daniel Suarez
Radius Meter Radius Approximation using a circular assumption and splitting interval into 1000 equal parts (for increment).


For X = 7002.5 Average Radius = 56390.7


x(R=56390.7)		f(x,56390.7)
1500		526.351
1510		524.724
1520		523.087
1530		521.438
1540		519.778
1550		518.107
1560		516.424
1570		514.731
1580		513.027
1590		511.311
1600		509.584
1610		507.846
1620		506.097
1630		504.337
1640		502.566
1650		500.783
1660		498.989
1670		497.184
1680		495.368
1690		493.541
1700		491.702
1710		489.853
1720		487.992
1730		486.119
1740		484.236
1750		482.341
1760		480.435
1770		478.518
1780		476.59
1790		474.65
1800		472.699
1810		470.736
1820		468.763
1830		466.778
1840		464.782
1850		462.774
1860		460.755
1870		458.725
1880		456.683
1890		454.631
1900		452.566
1910		450.491
1920		448.404
1930		446.305
1940		444.196
1950		442.075
1960		439.942
1970		437.798
1980		435.643
1990		433.476
2000		431.298
2010		429.108
2020		426.907
2030		424.695
2040		422.471
2050		420.235
2060		417.988
2070		415.73
2080		413.46
2090		411.178
2100		408.885
2110		406.581
2120		404.265
2130		401.937
2140		399.598
2150		397.247
2160		394.885
2170		392.511
2180		390.126
2190		387.729
2200		385.32
2210		382.9
2220		380.468
2230		378.025
2240		375.569
2250		373.103
2260		370.624
2270		368.134
2280		365.632
2290		363.119
2300		360.594
2310		358.057
2320		355.508
2330		352.948
2340		350.376
2350		347.792
2360		345.196
2370		342.589
2380		339.97
2390		337.339
2400		334.696
2410		332.041
2420		329.375
2430		326.697
2440		324.007
2450		321.305
2460		318.591
2470		315.866
2480		313.128
2490		310.379
2500		307.617
2510		304.844
2520		302.059
2530		299.262
2540		296.453
2550		293.632
2560		290.799
2570		287.954
2580		285.097
2590		282.228
2600		279.347
2610		276.454
2620		273.549
2630		270.632
2640		267.703
2650		264.761
2660		261.808
2670		258.843
2680		255.865
2690		252.875
2700		249.874
2710		246.86
2720		243.833
2730		240.795
2740		237.745
2750		234.682
2760		231.607
2770		228.52
2780		225.421
2790		222.309
2800		219.185
2810		216.049
2820		212.901
2830		209.74
2840		206.567
2850		203.382
2860		200.184
2870		196.974
2880		193.752
2890		190.517
2900		187.27
2910		184.01
2920		180.738
2930		177.454
2940		174.157
2950		170.847
2960		167.526
2970		164.191
2980		160.844
2990		157.485
3000		154.113
3010		150.729
3020		147.332
3030		143.922
3040		140.5
3050		137.066
3060		133.618
3070		130.158
3080		126.686
3090		123.2
3100		119.702
3110		116.192
3120		112.668
3130		109.132
3140		105.583
3150		102.022
3160		98.4475
3170		94.8603
3180		91.2604
3190		87.6477
3200		84.0221
3210		80.3837
3220		76.7324
3230		73.0682
3240		69.3911
3250		65.7012
3260		61.9983
3270		58.2824
3280		54.5536
3290		50.8118
3300		47.0571
3310		43.2893
3320		39.5085
3330		35.7146
3340		31.9077
3350		28.0877
3360		24.2546
3370		20.4084
3380		16.5491
3390		12.6766
3400		8.79093
3410		4.8921
3420		0.980071
3430		-2.94517
3440		-6.88365
3450		-10.8354
3460		-14.8004
3470		-18.7787
3480		-22.7703
3490		-26.7752
3500		-30.7935

For X = 6687.5 Average Radius = 6651.9


x(R=6651.9)		f(x,6651.9)
-3500		-93.7434
-3490		-87.5682
-3480		-81.4173
-3470		-75.2908
-3460		-69.1885
-3450		-63.1103
-3440		-57.0561
-3430		-51.026
-3420		-45.0197
-3410		-39.0373
-3400		-33.0786
-3390		-27.1436
-3380		-21.2321
-3370		-15.3443
-3360		-9.47984
-3350		-3.63881
-3340		2.17892
-3330		7.9734
-3320		13.7447
-3310		19.4929
-3300		25.2181
-3290		30.9203
-3280		36.5996
-3270		42.2561
-3260		47.8898
-3250		53.5008
-3240		59.0891
-3230		64.655
-3220		70.1983
-3210		75.7191
-3200		81.2176
-3190		86.6938
-3180		92.1477
-3170		97.5795
-3160		102.989
-3150		108.377
-3140		113.742
-3130		119.086
-3120		124.408
-3110		129.707
-3100		134.986
-3090		140.242
-3080		145.477
-3070		150.69
-3060		155.882
-3050		161.052
-3040		166.201
-3030		171.328
-3020		176.434
-3010		181.519
-3000		186.583
-2990		191.625
-2980		196.647
-2970		201.647
-2960		206.626
-2950		211.585
-2940		216.522
-2930		221.439
-2920		226.335
-2910		231.21
-2900		236.065
-2890		240.899
-2880		245.712
-2870		250.505
-2860		255.278
-2850		260.03
-2840		264.761
-2830		269.472
-2820		274.163
-2810		278.834
-2800		283.485
-2790		288.115
-2780		292.725
-2770		297.316
-2760		301.886
-2750		306.436
-2740		310.966
-2730		315.477
-2720		319.968
-2710		324.439
-2700		328.89
-2690		333.321
-2680		337.733
-2670		342.125
-2660		346.498
-2650		350.851
-2640		355.185
-2630		359.499
-2620		363.794
-2610		368.069
-2600		372.325
-2590		376.562
-2580		380.78
-2570		384.978
-2560		389.157
-2550		393.317
-2540		397.458
-2530		401.58
-2520		405.683
-2510		409.767
-2500		413.833
-2490		417.879
-2480		421.906
-2470		425.915
-2460		429.904
-2450		433.876
-2440		437.828
-2430		441.761
-2420		445.676
-2410		449.573
-2400		453.451
-2390		457.31
-2380		461.151
-2370		464.973
-2360		468.777
-2350		472.563
-2340		476.33
-2330		480.079
-2320		483.809
-2310		487.521
-2300		491.215
-2290		494.891
-2280		498.549
-2270		502.189
-2260		505.81
-2250		509.413
-2240		512.999
-2230		516.566
-2220		520.115
-2210		523.647
-2200		527.16
-2190		530.656
-2180		534.134
-2170		537.594
-2160		541.036
-2150		544.46
-2140		547.867
-2130		551.256
-2120		554.627
-2110		557.98
-2100		561.316
-2090		564.635
-2080		567.935
-2070		571.219
-2060		574.484
-2050		577.733
-2040		580.963
-2030		584.177
-2020		587.373
-2010		590.551
-2000		593.712
-1990		596.856
-1980		599.983
-1970		603.092
-1960		606.184
-1950		609.259
-1940		612.317
-1930		615.357
-1920		618.38
-1910		621.387
-1900		624.376
-1890		627.348
-1880		630.302
-1870		633.24
-1860		636.161
-1850		639.065
-1840		641.952
-1830		644.822
-1820		647.675
-1810		650.511
-1800		653.33
-1790		656.133
-1780		658.918
-1770		661.687
-1760		664.439
-1750		667.175
-1740		669.893
-1730		672.595
-1720		675.28
-1710		677.948
-1700		680.6
-1690		683.235
-1680		685.854
-1670		688.456
-1660		691.041
-1650		693.61
-1640		696.162
-1630		698.698
-1620		701.217
-1610		703.72
-1600		706.206
-1590		708.676
-1580		711.129
-1570		713.567
-1560		715.987
-1550		718.391
-1540		720.779
-1530		723.151
-1520		725.506
-1510		727.845
-1500		730.168
-1490		732.475
-1480		734.765
-1470		737.039
-1460		739.297
-1450		741.538
-1440		743.764
-1430		745.973
-1420		748.166
-1410		750.343
-1400		752.504
-1390		754.649
-1380		756.778
-1370		758.891
-1360		760.987
-1350		763.068
-1340		765.132
-1330		767.181
-1320		769.214
-1310		771.23
-1300		773.231
-1290		775.216
-1280		777.185
-1270		779.138
-1260		781.075
-1250		782.996
-1240		784.901
-1230		786.791
-1220		788.664
-1210		790.522
-1200		792.364
-1190		794.19
-1180		796.001
-1170		797.795
-1160		799.574
-1150		801.337
-1140		803.085
-1130		804.816
-1120		806.532
-1110		808.233
-1100		809.917
-1090		811.586
-1080		813.239
-1070		814.877
-1060		816.499
-1050		818.105
-1040		819.696
-1030		821.271
-1020		822.831
-1010		824.375
-1000		825.903
-990		827.416
-980		828.913
-970		830.395
-960		831.861
-950		833.312
-940		834.747
-930		836.167
-920		837.571
-910		838.96
-900		840.333
-890		841.691
-880		843.033
-870		844.36
-860		845.672
-850		846.968
-840		848.249
-830		849.514
-820		850.764
-810		851.998
-800		853.217
-790		854.421
-780		855.61
-770		856.783
-760		857.94
-750		859.083
-740		860.21
-730		861.322
-720		862.418
-710		863.499
-700		864.565
-690		865.616
-680		866.651
-670		867.671
-660		868.676
-650		869.665
-640		870.639
-630		871.598
-620		872.542
-610		873.471
-600		874.384
-590		875.282
-580		876.165
-570		877.033
-560		877.885
-550		878.722
-540		879.544
-530		880.351
-520		881.143
-510		881.92
-500		882.681
-490		883.427
-480		884.158
-470		884.874
-460		885.575
-450		886.261
-440		886.931
-430		887.586
-420		888.227
-410		888.852
-400		889.462
-390		890.057
-380		890.636
-370		891.201
-360		891.75
-350		892.285
-340		892.804
-330		893.309
-320		893.798
-310		894.272
-300		894.731
-290		895.175
-280		895.604
-270		896.017
-260		896.416
-250		896.8
-240		897.168
-230		897.522
-220		897.86
-210		898.184
-200		898.492
-190		898.785
-180		899.063
-170		899.327
-160		899.575
-150		899.808
-140		900.026
-130		900.229
-120		900.417
-110		900.59
-100		900.747
-90		900.89
-80		901.018
-70		901.131
-60		901.229
-50		901.311
-40		901.379
-30		901.432
-20		901.469
-10		901.492
0		901.499
10		901.492
20		901.469
30		901.432
40		901.379
50		901.311
60		901.229
70		901.131
80		901.018
90		900.89
100		900.747
110		900.59
120		900.417
130		900.229
140		900.026
150		899.808
160		899.575
170		899.327
180		899.063
190		898.785
200		898.492
210		898.184
220		897.86
230		897.522
240		897.168
250		896.8
260		896.416
270		896.017
280		895.604
290		895.175
300		894.731
310		894.272
320		893.798
330		893.309
340		892.804
350		892.285
360		891.75
370		891.201
380		890.636
390		890.057
400		889.462
410		888.852
420		888.227
430		887.586
440		886.931
450		886.261
460		885.575
470		884.874
480		884.158
490		883.427
500		882.681
510		881.92
520		881.143
